bir, sıfat	bir	 sıfat	 adjective	one		
görüntü, isim	görüntü	 isim		image		
beri, edat	beri	 edat		since		
ders, isim	ders	 isim		lesson		
başkan, isim	başkan	 isim		president		
karşılık, isim	karşılık	 isim		provisions		
kurtulmak, fiil	kurtulmak	 fiil		escape		
numara, isim	numara	 isim		number		
defa, isim	defa	 isim		times		
edilmek, fiil	edilmek	 fiil		to be		
batı, isim	batı	 isim		West		
fark etmek, fiil	fark etmek	 fiil		to notice		
herhangi bir, sıfat	herhangi bir	 sıfat		any		
sinema, isim	sinema	 isim		cinema		
değişik, sıfat	değişik	 sıfat		different		
hedef, isim	hedef	 isim		target		
uyumak, fiil	uyumak	 fiil		sleep		
dost, isim	dost	 isim		friend		
yanmak, fiil	yanmak	 fiil		burn		
anlayış, isim	anlayış	 isim		understanding		
asıl, sıfat	asıl	 sıfat		noble		
basmak, fiil	basmak	 fiil		print		
kenar, isim	kenar	 isim		edge		
kontrol, isim	kontrol	 isim		control		
çevirmek, fiil	çevirmek	 fiil		turn		
din, isim	din	 isim		religion		
güçlü, sıfat	güçlü	 sıfat		strong		
henüz, zarf	henüz	 zarf		yet		
plan, isim	plan	 isim		plan		
beyin, isim	beyin	 isim		brain		
elektrik, isim	elektrik	 isim		electricity		
karı, isim	karı	 isim		wife		
üstünde, isim	üstünde	 isim		on		
et, isim	et	 isim		meat		
sağlanmak, fiil	sağlanmak	 fiil		to provide		
söylenmek, fiil	söylenmek	 fiil		grouch		
çizgi, isim	çizgi	 isim		line		
uç, sıfat	uç	 sıfat		three		
üye, isim	üye	 isim		member		
cilt, isim	cilt	 isim		skin		
ruh, isim	ruh	 isim		soul		
sevgili, sıfat	sevgili	 sıfat		dear		
yaklaşmak, fiil	yaklaşmak	 fiil		approach		
süreç, isim	süreç	 isim		process		
bakış, isim	bakış	 isim		view		
bilim, isim	bilim	 isim		science		
ileri, zarf	ileri	 zarf		next		
ifade, isim	ifade	 isim		expression		
beden, isim	beden	 isim		body		
hatırlamak, fiil	hatırlamak	 fiil		remember		
kaza, isim	kaza	 isim		accident		
iyice, zarf	iyice	 zarf		thoroughly		
dağ, isim	dağ	 isim		mountain		
kapatmak, fiil	kapatmak	 fiil		close		
adım, isim	adım	 isim		step		
ciddi, sıfat	ciddi	 sıfat		serious		
çözüm, isim	çözüm	 isim		solution		
etkilemek, fiil	etkilemek	 fiil		affect		
belediye, isim	belediye	 isim		municipality		
gelişme, isim	gelişme	 isim		development		
seçim, isim	seçim	 isim		selection		
ağlamak, fiil	ağlamak	 fiil		cry		
bağlı, zarf	bağlı	 zarf		connected		
kavram, isim	kavram	 isim		concept		
artırmak, fiil	artırmak	 fiil		increase		
faaliyet, isim	faaliyet	 isim		activity		
zarar, isim	zarar	 isim		damage		
derin, sıfat	derin	 sıfat		deep		
salon, isim	salon	 isim		living room		
çeşit, isim	çeşit	 isim		kind		
kesilmek, fiil	kesilmek	 fiil		be cut		
seyretmek, fiil	seyretmek	 fiil		watch		
birden, zarf	birden	 zarf		suddenly		
içermek, fiil	içermek	 fiil		contain		
sayılmak, fiil	sayılmak	 fiil		be counted		
toplamak, fiil	toplamak	 fiil		collect		
aşmak, fiil	aşmak	 fiil		exceed		
bağırmak, fiil	bağırmak	 fiil		yell		
sorumluluk, isim	sorumluluk	 isim		responsibility		
davranmak, fiil	davranmak	 fiil		behave		
mektup, isim	mektup	 isim		letter		
soğuk, sıfat	soğuk	 sıfat		cold		
canlı, sıfat	canlı	 sıfat		live		
idi, ek eylem	idi	 ek eylem		was		
makine, isim	makine	 isim		machine		
yararlanmak, fiil	yararlanmak	 fiil		benefit		
yaşlı, sıfat	yaşlı	 sıfat		old		
boş, sıfat	boş	 sıfat		null		
acaba, zarf	acaba	 zarf		I wonder		
maç, isim	maç	 isim		match		
yönetici, isim	yönetici	 isim		manager		
getirilmek, fiil	getirilmek	 fiil		to be		
metre, isim	metre	 isim		meter		
tutulmak, fiil	tutulmak	 fiil		be held		
kalite, isim	kalite	 isim		quality		
bitki, isim	bitki	 isim		plant		
değişiklik, isim	değişiklik	 isim		alteration		
ilaç, isim	ilaç	 isim		medicine		
kredi, isim	kredi	 isim		credit		
yasa, isim	yasa	 isim		law		
başarılı, sıfat	başarılı	 sıfat		successful		
birer, sıfat	birer	 sıfat		a		
imkan, isim	imkan	 isim		facility		
ceza, isim	ceza	 isim		criminal		
her şey, sıfat	her şey	 sıfat		everything		
incelemek, fiil	incelemek	 fiil		examine		
top, isim	top	 isim		ball		
uzman, isim	uzman	 isim		expert		
doldurmak, fiil	doldurmak	 fiil		fill		
kanal, isim	kanal	 isim		channel		
mekân, isim	mekân	 isim		place		
uymak, fiil	uymak	 fiil		comply		
yıllık, zarf	yıllık	 zarf		yearly		
dolayısıyla, zarf	dolayısıyla	 zarf		because of		
yazılmak, fiil	yazılmak	 fiil		sign up		
ait, sıfat	ait	 sıfat		belonging to		
parmak, isim	parmak	 isim		finger		
saymak, fiil	saymak	 fiil		count		
atılmak, fiil	atılmak	 fiil		plunge		
belirlemek, fiil	belirlemek	 fiil		determine		
normal, sıfat	normal	 sıfat		normal		
hele, bağlaç	hele	 bağlaç		especially		
ilke, isim	ilke	 isim		principle		
kırmızı, sıfat	kırmızı	 sıfat		red		
rol, isim	rol	 isim		role		
şarkı, isim	şarkı	 isim		song		
eleman, isim	eleman	 isim		element		
hazır, sıfat	hazır	 sıfat		ready		
benzemek, fiil	benzemek	 fiil		look alike		
bir şey, zamir	bir şey	 zamir		something		
hoca, isim	hoca	 isim		teacher		
boy, isim	boy	 isim		size		
günlük, isim	günlük	 isim		daily		
politika, isim	politika	 isim		policy		
suç, isim	suç	 isim		crime		
niye, zarf	niye	 zarf		why		
sahne, isim	sahne	 isim		scene		
sokmak, fiil	sokmak	 fiil		sting		
adet, isim	adet	 isim		piece		
koltuk, isim	koltuk	 isim		armchair		
kurtarmak, fiil	kurtarmak	 fiil		rescue		
sanatçı, isim	sanatçı	 isim		artist		
tercih etmek, fiil	tercih etmek	 fiil		prefer		
uzanmak, fiil	uzanmak	 fiil		reach		
aşama, isim	aşama	 isim		stage		
eklemek, fiil	eklemek	 fiil		add		
orman, isim	orman	 isim		Forest		
ayırmak, fiil	ayırmak	 fiil		reserve		
düzen, isim	düzen	 isim		order		
faiz, isim	faiz	 isim		interest		
genellikle, zarf	genellikle	 zarf		usually		
her zaman, zarf	her zaman	 zarf		always		
hikaye, isim	hikaye	 isim		story		
hücre, isim	hücre	 isim		cell		
ora, isim	ora	 isim		ora		
roman, isim	roman	 isim		novel		
vergi, isim	vergi	 isim		tax		
yakmak, fiil	yakmak	 fiil		burn		
ağabey, isim	ağabey	 isim		brother		
basın, isim	basın	 isim		Press		
destek, isim	destek	 isim		support		
giymek, fiil	giymek	 fiil		wear		
hata, isim	hata	 isim		error		
sınır, isim	sınır	 isim		anger		
birlik, isim	birlik	 isim		unity		
eser, isim	eser	 isim		work		
karşılamak, fiil	karşılamak	 fiil		meet		
yarı, sıfat	yarı	 sıfat		half		
yeterli, sıfat	yeterli	 sıfat		enough		
birey, isim	birey	 isim		individual		
karanlık, sıfat	karanlık	 sıfat		dark		
otobüs, isim	otobüs	 isim		bus		
sanayi, isim	sanayi	 isim		industry		
bebek, isim	bebek	 isim		baby		
vatandaş, isim	vatandaş	 isim		citizen		
bakan, isim	bakan	 isim		minister		
kere, isim	kere	 isim		times		
millet, isim	millet	 isim		nation		
reklam, isim	reklam	 isim		advertisement		
yükselmek, fiil	yükselmek	 fiil		rise		
boyut, isim	boyut	 isim		size		
dergi, isim	dergi	 isim		magazine		
enflasyon, isim	enflasyon	 isim		inflation		
sosyal, sıfat	sosyal	 sıfat		social		
birisi, zamir	birisi	 zamir		someone		
geçmiş, isim	geçmiş	 isim		past		
hastahane, isim	hastahane	 isim		hospitals		
olma, isim	olma	 isim		being		
toplantı, isim	toplantı	 isim		meeting		
gazeteci, isim	gazeteci	 isim		journalist		
içerisi, isim	içerisi	 isim		within		
inanç, isim	inanç	 isim		faith		
nitelik, isim	nitelik	 isim		quality		
üzeri, isim	üzeri	 isim		via		
bitirmek, fiil	bitirmek	 fiil		finish		
gerçekleşmek, fiil	gerçekleşmek	 fiil		materialize		
giriş, isim	giriş	 isim		login		
rahat, sıfat	rahat	 sıfat		comfortable		
toplam, isim	toplam	 isim		total		
beraber, zarf	beraber	 zarf		together		
dükkan, isim	dükkan	 isim		store		
gizli, sıfat	gizli	 sıfat		hidden		
benzer, sıfat	benzer	 sıfat		similar		
deri, isim	deri	 isim		skin		
dönüşmek, fiil	dönüşmek	 fiil		turn		
mücadele, isim	mücadele	 isim		struggle		
problem, isim	problem	 isim		problem		
servis, isim	servis	 isim		service		
tedavi, isim	tedavi	 isim		treatment		
yeşil, sıfat	yeşil	 sıfat		green		
bakanlık, isim	bakanlık	 isim		ministry		
baskı, isim	baskı	 isim		printing		
tepki, isim	tepki	 isim		reaction		
cümle, isim	cümle	 isim		sentence		
dilemek, fiil	dilemek	 fiil		wish		
özgürlük, isim	özgürlük	 isim		freedom		
gene, zarf	gene	 zarf		again		
kimlik, isim	kimlik	 isim		ID		
mesele, isim	mesele	 isim		issue		
üçüncü, sıfat	üçüncü	 sıfat		third		
belirlenmek, fiil	belirlenmek	 fiil		to be determined		
değerlendirmek, fiil	değerlendirmek	 fiil		evaluate		
ilginç, sıfat	ilginç	 sıfat		interesting		
sürücü, isim	sürücü	 isim		driver		
süt, isim	süt	 isim		milk		
yakalamak, fiil	yakalamak	 fiil		catch		
eşya, isim	eşya	 isim		goods		
uluslararası, sıfat	uluslararası	 sıfat		international		
aday, isim	aday	 isim		candidate		
ağırlık, isim	ağırlık	 isim		weight		
milyar, isim	milyar	 isim		billion		
sağlılklı, sıfat	sağlılklı	 sıfat		sağlılkl the		
sıkıntı, isim	sıkıntı	 isim		trouble		
Tanrı, isim	Tanrı	 isim		God		
tavır, isim	tavır	 isim		attitude		
toplumsal, sıfat	toplumsal	 sıfat		social		
yayın, isim	yayın	 isim		broadcasting		
dikkat etmek, fiil	dikkat etmek	 fiil		to be careful		
son derece, sıfat	son derece	 sıfat		extremely		
toplanmak, fiil	toplanmak	 fiil		collect		
yatırım, isim	yatırım	 isim		investment		
hafif, sıfat	hafif	 sıfat		light		
karışmak, fiil	karışmak	 fiil		interfere		
tehlike, isim	tehlike	 isim		danger		
vakit, isim	vakit	 isim		time		
daire, isim	daire	 isim		circle		
fırsat, isim	fırsat	 isim		opportunity		
işlemek, fiil	işlemek	 fiil		handle		
karıştırmak, fiil	karıştırmak	 fiil		mix		
katkı, isim	katkı	 isim		additive		
öykü, isim	öykü	 isim		story		
tamamen, zarf	tamamen	 zarf		completely		
uçak, isim	uçak	 isim		airplane		
yanıt, isim	yanıt	 isim		response		
doğa, isim	doğa	 isim		nature		
evlenmek, fiil	evlenmek	 fiil		get married		
burun, isim	burun	 isim		nose		
çıkar, isim	çıkar	 isim		interest		
elbette, zarf	elbette	 zarf		of course		
işçi, isim	işçi	 isim		worker		
işletme, isim	işletme	 isim		operating		
kısaca, zarf	kısaca	 zarf		briefly		
mağaza, isim	mağaza	 isim		shop		
medya, isim	medya	 isim		media		
yüzünden, zarf	yüzünden	 zarf		because		
artış, isim	artış	 isim		increase		
çıkarılmak, fiil	çıkarılmak	 fiil		to be removed		
kamu, isim	kamu	 isim		public		
sigorta, isim	sigorta	 isim		insurance		
yaz, isim	yaz	 isim		summer		
yürek, isim	yürek	 isim		heart		
belge, isim	belge	 isim		document		
çaba, isim	çaba	 isim		effort		
her gün, zarf	her gün	 zarf		everyday		
ifade etmek, fiil	ifade etmek	 fiil		express		
risk, isim	risk	 isim		risk		
söz etmek, fiil	söz etmek	 fiil		mention		
sözcük, isim	sözcük	 isim		word		
demokrasi, isim	demokrasi	 isim		democracy		
tuz, isim	tuz	 isim		salt		
cami, isim	cami	 isim		mosque		
çağ, isim	çağ	 isim		age		
düşük, sıfat	düşük	 sıfat		low		
etraf, isim	etraf	 isim		surroundings		
hızla, zarf	hızla	 zarf		quickly		
olanak, isim	olanak	 isim		possibility		
organ, isim	organ	 isim		organ		
öldürmek, fiil	öldürmek	 fiil		kill		
öteki, sıfat	öteki	 sıfat		other		
sene, isim	sene	 isim		year		
bozulmak, fiil	bozulmak	 fiil		addle		
ilgilenmek, fiil	ilgilenmek	 fiil		be interested in		
meyve, isim	meyve	 isim		fruit		
takılmak, fiil	takılmak	 fiil		hang out		
tatlı, sıfat	tatlı	 sıfat		dessert		
bacak, isim	bacak	 isim		leg		
değişim, isim	değişim	 isim		change		
kanun, isim	kanun	 isim		law		
rüzgar, isim	rüzgar	 isim		wind		
cumhuriyet, isim	cumhuriyet	 isim		republic		
geliştirmek, fiil	geliştirmek	 fiil		develop		
tarz, isim	tarz	 isim		style		
yedi, sıfat	yedi	 sıfat		seven		
azalmak, fiil	azalmak	 fiil		decrease		
bağlamak, fiil	bağlamak	 fiil		connect		
cep telefonu, isim	cep telefonu	 isim		mobile phone		
iletişim, isim	iletişim	 isim		Contact		
müdür, isim	müdür	 isim		manager		
otel, isim	otel	 isim		hotel		
yayımlanmak, fiil	yayımlanmak	 fiil		to be published		
zevk, isim	zevk	 isim		taste		
binmek, fiil	binmek	 fiil		ride		
güvenlik, isim	güvenlik	 isim		security		
hukuk, isim	hukuk	 isim		law		
kılmak, fiil	kılmak	 fiil		render		
modern, sıfat	modern	 sıfat		modern		
okur, isim	okur	 isim		reader		
silah, isim	silah	 isim		weapon		
talep, isim	talep	 isim		request		
yıldız, isim	yıldız	 isim		star		
yoğun, sıfat	yoğun	 sıfat		intensive		
asker, isim	asker	 isim		soldier		
basit, sıfat	basit	 sıfat		simple		
denilmek, fiil	denilmek	 fiil		to be called		
gaz, isim	gaz	 isim		gas		
uygulama, isim	uygulama	 isim		application		
üretilmek, fiil	üretilmek	 fiil		produce		
beyan, isim	beyan	 isim		declaration		
besin, isim	besin	 isim		food		
dün, zarf	dün	 zarf		yesterday		
görüşmek, fiil	görüşmek	 fiil		discuss		
yaklaşık, sıfat	yaklaşık	 sıfat		about		
alışveriş, isim	alışveriş	 isim		shopping		
bilinç, isim	bilinç	 isim		consciousness		
çerçeve, isim	çerçeve	 isim		frame		
lazım, sıfat	lazım	 sıfat		necessary		
mevcut, isim	mevcut	 isim		available		
tüketici, isim	tüketici	 isim		consumer		
uzatmak, fiil	uzatmak	 fiil		extend		
yönelik, sıfat	yönelik	 sıfat		intended		
at, isim	at	 isim		horse		
bağlanmak, fiil	bağlanmak	 fiil		connect		
mesela, edat	mesela	 edat		e.g		
neredeyse, zarf	neredeyse	 zarf		almost		
site, isim	site	 isim		sites		
yardımcı olmak, fiil	yardımcı olmak	 fiil		help		
abla, isim	abla	 isim		sister		
çiçek, isim	çiçek	 isim		flower		
hepsi, zamir	hepsi	 zamir		all		
saygı, isim	saygı	 isim		respect		
ücret, isim	ücret	 isim		fee		
yetenek, isim	yetenek	 isim		ability		
kilo, isim	kilo	 isim		kilo		
paylaşmak, fiil	paylaşmak	 fiil		share		
sert, sıfat	sert	 sıfat		hard		
yanı sıra, zarf	yanı sıra	 zarf		Besides the		
çay, isim	çay	 isim		tea		
gider, isim	gider	 isim		expense		
kesin, sıfat	kesin	 sıfat		exact		
zengin, sıfat	zengin	 sıfat		rich		
asla, zarf	asla	 zarf		never		
laf, isim	laf	 isim		word		
örgüt, isim	örgüt	 isim		organization		
ticaret, isim	ticaret	 isim		trade		
yaptırmak, fiil	yaptırmak	 fiil		have it made		
boyun, isim	boyun	 isim		neck		
cihaz, isim	cihaz	 isim		device		
denge, isim	denge	 isim		balance		
giderek, zarf	giderek	 zarf		increasingly		
sırt, isim	sırt	 isim		back		
dolayı, zarf	dolayı	 zarf		because		
kahve, isim	kahve	 isim		coffee		
kas, isim	kas	 isim		eyebrow		
meclis, isim	meclis	 isim		council		
öteki, isim	öteki	 isim		other		
uğraşmak, fiil	uğraşmak	 fiil		deal		
adres, isim	adres	 isim		address		
belirtilmek, fiil	belirtilmek	 fiil		to be specified		
paşa, isim	paşa	 isim		Pasha		
sıcaklık, isim	sıcaklık	 isim		temperature		
tamam, sıfat	tamam	 sıfat		OK		
güven, isim	güven	 isim		confidence		
marka, isim	marka	 isim		brand		
yaprak, isim	yaprak	 isim		leaf		
yarar, isim	yarar	 isim		benefit		
yayılmak, fiil	yayılmak	 fiil		spread		
akmak, fiil	akmak	 fiil		flow		
çizmek, fiil	çizmek	 fiil		draw		
düşünülmek, fiil	düşünülmek	 fiil		to be considered		
gönül, isim	gönül	 isim		heart		
hayal, isim	hayal	 isim		dream		
ilerlemek, fiil	ilerlemek	 fiil		advance		
şarap, isim	şarap	 isim		wine		
yukarıda, sıfat	yukarıda	 sıfat		above		
altın, isim	altın	 isim		gold		
düzenlemek, fiil	düzenlemek	 fiil		organize		
satın almak, fiil	satın almak	 fiil		Purchasing		
sunulmak, fiil	sunulmak	 fiil		to be presented		
temiz, sıfat	temiz	 sıfat		clean		
vitamin, isim	vitamin	 isim		vitamin		
ek, isim	ek	 isim		additional		
geç, sıfat	geç	 sıfat		late		
hareket etmek, fiil	hareket etmek	 fiil		act		
yumurta, isim	yumurta	 isim		egg		
aşırı, sıfat	aşırı	 sıfat		extreme		
eylem, isim	eylem	 isim		action		
istenmek, fiil	istenmek	 fiil		the desirable		
kesim, isim	kesim	 isim		cut		
kriz, isim	kriz	 isim		crisis		
birim, isim	birim	 isim		unit		
kapanmak, fiil	kapanmak	 fiil		close down		
